"#SPS mobile sample, material = passivated copper, position = center, on beam axis"	
#sample ref : SPS_Mobile_sample_middle	
Inflection point (eV)	1.7
Work function (eV)	4.2
	
Ep (eV)	LE_SEY
0	1.01
0.1	1.01
0.2	1.01
0.3	1.0
0.4	1.0
0.5	1.0
0.6	1.0
0.7	1.0
0.8	1.0
0.9	0.997
1	0.992
1.1	0.981
1.2	0.961
1.3	0.924
1.4	0.858
1.5	0.727
1.6	0.551
1.7	0.317
1.8	0.167
1.9	0.198
2	0.214
2.1	0.259
2.2	0.278
2.3	0.309
2.4	0.333
2.5	0.356
2.6	0.384
2.7	0.404
2.8	0.418
2.9	0.43
3	0.461
3.1	0.477
3.2	0.486
3.3	0.499
3.4	0.522
3.5	0.524
3.6	0.546
3.7	0.549
3.8	0.561
3.9	0.56
4	0.566
4.1	0.571
4.2	0.583
4.3	0.576
4.4	0.581
4.5	0.581
4.6	0.587
4.7	0.59
4.8	0.597
4.9	0.587
5	0.597
5.2	0.587
5.4	0.597
5.6	0.595
5.8	0.603
6	0.602
6.2	0.601
6.4	0.603
6.6	0.6
6.8	0.602
7	0.61
7.2	0.611
7.4	0.619
7.6	0.611
7.8	0.622
8	0.622
8.2	0.621
8.4	0.633
8.6	0.62
8.8	0.619
9	0.631
9.2	0.618
9.4	0.624
9.6	0.615
9.8	0.63
10	0.616
11	0.626
12	0.626
13	0.627
14	0.657
15	0.685
16	0.7
17	0.72
18	0.747
19	0.773
20	0.794
21	0.803
22	0.815
23	0.83
24	0.851
25	0.864
27	0.885
29	0.923
31	0.939
33	0.965
35	0.989
37	1.01
39	1.03
41	1.05
43	1.07
45	1.08
47	1.11
49	1.12
51	1.14
53	1.16
55	1.18
57	1.2
59	1.22
61	1.24
63	1.24
65	1.26
67	1.28
69	1.3
